iteration,prev_error,rel_improvement,no_improvement_counter,dtrans_norm,drot_abs,stop_reason,max_correspondence_distance,min_squared_error,n_points_true_data,n_points_new_data,scan_match_pose,true_pose,predicted_pose,timestamp
5,2.9322655998848606,0.16179559593800547,0,0.0063330307657686845,[0.0014122],Transformation magnitude below threshold,0.8,15.0,800,132,"(2.6093580303062165, 2.864818026370347, 1.5304489875062544)","(2.579157534935815, 2.8767220499306876, 1.5402959756428556)","(2.5832963139753504, 2.8142653141383334, 1.5373910709069856)",34.35
5,3.7847927759129245,0.1523978310675621,0,0.00813217031275845,[0.00238251],Transformation magnitude below threshold,0.8,15.0,800,134,"(2.5876956499483215, 2.9705081288372064, 1.637340158335367)","(2.572925970183427, 3.01077219801468, 1.6430086572250122)","(2.608583308734052, 2.99422874092609, 1.6231165899646687)",34.84
3,5.216036765267785,0.25425478628895315,0,0.002730914169610971,[0.00227864],Transformation magnitude below threshold,0.8,15.0,800,134,"(2.58014896260469, 3.095930389295968, 1.4349309238444206)","(2.573355361228106, 3.143950007408092, 1.433107940525521)","(2.5937079574208393, 3.118504077050182, 1.4230475258593742)",35.33
3,2.6271633472286426,0.1427386487696805,0,0.005259424903491391,[0.00110541],Transformation magnitude below threshold,0.8,15.0,800,135,"(2.6088200120592475, 3.24643701486429, 1.4305351153067305)","(2.5918740354434457, 3.2772247743563367, 1.4319780904491968)","(2.598458876163063, 3.225103196695265, 1.4250429935755777)",35.83
1,10000000000,,,0.002617927491732279,[0.00100054],Transformation magnitude below threshold,0.8,15.0,800,135,"(2.6252087367798747, 3.376839691558458, 1.424412896532131)","(2.6097232400459838, 3.405048418830371, 1.4316975623018238)","(2.6270207245056687, 3.372112997351538, 1.4234123549064615)",36.33
3,3.902005802966439,0.23836011369934923,0,0.006486413321405676,[0.00169844],Transformation magnitude below threshold,0.8,15.0,800,136,"(2.642787534803032, 3.497397689938521, 1.4250989944297496)","(2.6286659022945584, 3.5404742741018986, 1.4314118632005868)","(2.6462555316422978, 3.515688860130983, 1.4163095823892453)",36.83
1,10000000000,,,0.007770640250721333,[0.00083821],Transformation magnitude below threshold,0.8,15.0,800,137,"(2.6637554268453405, 3.6314707241243083, 1.425974233564744)","(2.647117887037874, 3.672090649071857, 1.431126917407943)","(2.6613218895484168, 3.6237239133040138, 1.425136023560026)",37.32
3,5.407835944767926,0.2154624265228369,0,0.0027692747779433195,[0.00074806],Transformation magnitude below threshold,0.8,15.0,800,137,"(2.678966844072581, 3.7446802447617227, 1.4171559619409133)","(2.665607385073093, 3.8037023375368255, 1.4308464154099112)","(2.6831848258447573, 3.7553117672832905, 1.4043759144277788)",37.83
3,6.200117800188695,0.2396212510728105,0,0.00430792089640299,[0.00159186],Transformation magnitude below threshold,0.8,15.0,800,137,"(2.6888981454122765, 3.867776747310537, 1.4152827969325044)","(2.6836012444902324, 3.931506089928987, 1.430568953031094)","(2.702177381163957, 3.8853447889466746, 1.3973711725402334)",38.33
2,3.6652802020108752,0.9999999996334721,0,0.0097592019713083,[0.00120685],Transformation magnitude below threshold,0.8,15.0,800,137,"(2.714094287180276, 4.017413259358313, 1.4263179329167657)","(2.7026965300393453, 4.066911596987589, 1.430287714231626)","(2.708479133465055, 3.996659256126933, 1.4247579680776354)",38.82
2,5.015718661681118,0.9999999994984281,0,0.008035459667063807,[0.00239673],Transformation magnitude below threshold,0.8,15.0,800,138,"(2.7273488528497016, 4.15142983155444, 1.4185692755644215)","(2.721296369826367, 4.198507728872063, 1.4300036341161189)","(2.7342446019944187, 4.149052172442875, 1.411487514466252)",39.32
4,2.4434956252096227,0.0638790695106772,0,0.006177800008225853,[0.00113168],Transformation magnitude below threshold,0.8,15.0,800,139,"(2.760945199928937, 4.306833771096038, 1.4293967400262222)","(2.7399335768387014, 4.330098396972705, 1.4297196862841721)","(2.7495581486250527, 4.298160508575299, 1.4225819960962616)",39.84
1,10000000000,,,0.006061845431643722,[3.99811627e-05],Transformation magnitude below threshold,0.8,15.0,800,139,"(2.7778916822270556, 4.440424126536144, 1.4316200367465497)","(2.7586081628111083, 4.461684363529806, 1.4294402425737307)","(2.7789863530103567, 4.4346083439032, 1.4316600179092323)",40.97
2,3.060274833024179,0.9999999996939726,0,0.009304174005963735,[0.00128897],Transformation magnitude below threshold,0.8,15.0,800,140,"(2.8057173278011565, 4.646481549744095, 1.428708731521144)","(2.786525273715668, 4.65788354930258, 1.4290187078000351)","(2.8037295121929673, 4.622241140192555, 1.4276450644036238)",41.22
1,10000000000,,,0.004688026369392799,[0.00023064],Transformation magnitude below threshold,0.8,15.0,800,139,"(2.819711085953973, 4.719312872396222, 1.435869657388776)","(2.7938153968134483, 4.709053193277011, 1.4289169681837117)","(2.8165367644388284, 4.724161549496979, 1.436100297581727)",41.42
2,2.2320330034745663,0.9999999997767968,0,0.0035530724678322356,[0.00018432],Transformation magnitude below threshold,0.8,15.0,800,140,"(2.837264468298472, 4.842546653112948, 1.433252940103818)","(2.8143117039187966, 4.852609988484787, 1.4286006947891576)","(2.8381545840038127, 4.853515944888641, 1.4325745165178505)",41.85
2,2.832821118171071,0.9999999997167179,0,0.0075429274054744245,[0.00130208],Transformation magnitude below threshold,0.8,15.0,800,140,"(2.852608006011831, 4.975679655648558, 1.4334321739945395)","(2.8323788859523975, 4.978912408263586, 1.4283289190405957)","(2.8545823602716047, 4.969578889297907, 1.4373567107725798)",42.35
1,10000000000,,,0.003908590105060344,[0.00028106],Transformation magnitude below threshold,0.8,15.0,800,141,"(2.8720159959644813, 5.1059242157046265, 1.4303842319392208)","(2.851777375580107, 5.114274817421616, 1.4280496332773474)","(2.871163847757823, 5.108286363812522, 1.4301031690040977)",42.82
3,2.6916114255125407,0.3362349827120791,0,0.0053645973573596805,[0.00143008],Transformation magnitude below threshold,0.8,15.0,800,141,"(2.8920325582135793, 5.2446015452352475, 1.4329782238909063)","(2.869915031108693, 5.2405684090995095, 1.4277843391896994)","(2.8897864542670657, 5.238268588198211, 1.444256371055885)",43.33
3,1.9887057844819707,0.20856360267934054,0,0.0011576932754017845,[0.00017115],Transformation magnitude below threshold,0.8,15.0,793,141,"(2.9122242712083657, 5.372778375980424, 1.431587953475488)","(2.8903598119006944, 5.382642847102745, 1.4274830955717155)","(2.910675714318145, 5.381721342302669, 1.4383465891916503)",43.83
2,2.320874257852873,0.9999999997679124,0,0.007979244377369757,[0.00098962],Transformation magnitude below threshold,0.8,15.0,788,141,"(2.930705411023993, 5.503550429503376, 1.4311952209028123)","(2.9085689901264504, 5.508925398430371, 1.4272119875713711)","(2.9306806288990574, 5.506784551584469, 1.4362715072883052)",44.32
1,10000000000,,,0.009903045191274417,[0.00157964],Transformation magnitude below threshold,0.8,15.0,780,141,"(2.9484545836013845, 5.6333358774237015, 1.4302885977147046)","(2.9268123932983054, 5.635202862837814, 1.4269411534125966)","(2.949387959248438, 5.636833488927115, 1.4318682408443397)",44.81
2,2.9057617377427287,0.9999999997094239,0,0.0022309135967984077,[0.00025478],Transformation magnitude below threshold,0.8,15.0,776,142,"(2.9702136911161676, 5.7691207921325525, 1.4310989225864865)","(2.9468297153967904, 5.773458441226287, 1.4266419552895744)","(2.966659490319361, 5.766641073708322, 1.439852046927399)",45.32
2,2.006394999613926,0.9999999997993605,0,0.00651376901100348,[0.00072562],Transformation magnitude below threshold,0.8,15.0,764,142,"(2.9865190333194302, 5.898045489483817, 1.430189726110978)","(2.9656924654052315, 5.9035281088800176, 1.4263769088141338)","(2.988827404443336, 5.902786001118008, 1.433760937928528)",45.82
2,2.989252119086823,0.9999999997010748,0,0.008575282863167333,[0.0010057],Transformation magnitude below threshold,0.8,15.0,754,143,"(3.004847859647054, 6.030065275530582, 1.4299354965101694)","(2.984041120662983, 6.029791483049222, 1.4261099392858765)","(3.0046113201839364, 6.030393062471127, 1.439681540300212)",46.32
1,10000000000,,,0.008804453662176666,[0.00101369],Transformation magnitude below threshold,0.8,15.0,745,144,"(3.022005792920122, 6.158925436769304, 1.4288288763516725)","(3.004723793416881, 6.1718311671006525, 1.4258059270965027)","(3.0228125995664503, 6.156713695596291, 1.4298425651610884)",46.81
2,2.964593988687958,0.9999999997035406,0,0.00553717541725325,[0.00064307],Transformation magnitude below threshold,0.8,15.0,729,144,"(3.043157064690301, 6.294064794470109, 1.430136308821586)","(3.0231446278736063, 6.29808325546761, 1.4255361655904624)","(3.040603613098646, 6.294426014080773, 1.4399628896102357)",47.32
3,2.2158622139570165,0.432240633217397,0,0.00330702638127435,[0.00027107],Transformation magnitude below threshold,0.8,15.0,717,144,"(3.060564911682015, 6.42335748161777, 1.4290107209425251)","(3.0415995477380893, 6.424330953192884, 1.4252706681181675)","(3.0622801065129424, 6.421295695288444, 1.4130860285104925)",47.82
2,2.15525391694781,0.9999999997844745,0,0.0014132727669473385,[0.00014832],Transformation magnitude below threshold,0.8,15.0,701,144,"(3.079514473817411, 6.556822284743457, 1.4290471744489934)","(3.061847540479113, 6.56255409727859, 1.4249745835077936)","(3.079007790916767, 6.5507848562172475, 1.4251131424843049)",48.32
2,2.3259607638575304,0.999999999767404,0,0.0026392117192647656,[0.00030464],Transformation magnitude below threshold,0.8,15.0,690,144,"(3.1016068435144093, 6.692033841241249, 1.4312013536787067)","(3.0811448204047474, 6.694051961585933, 1.4246970876668887)","(3.0977093249688346, 6.687724219685238, 1.4363231798692109)",48.81
1,10000000000,,,0.00630329180350716,[0.00032715],Transformation magnitude below threshold,0.8,15.0,682,144,"(3.117669305687738, 6.82373837479699, 1.4295268652208182)","(3.0997046494899383, 6.820284209244855, 1.424427607353377)","(3.1196901134280113, 6.820106061125092, 1.4298540185960338)",49.31
3,2.042874687433387,0.16929189260688637,0,0.0032588851000050797,[0.00039713],Transformation magnitude below threshold,0.8,15.0,667,144,"(3.136745321703228, 6.957603884420349, 1.429005219699705)","(3.119849471460711, 6.957029986821883, 1.424136368333181)","(3.136922466801877, 6.954317166128824, 1.419285742952451)",49.81
1,10000000000,,,0.0038337318231738255,[0.00023723],Transformation magnitude below threshold,0.8,15.0,655,144,"(3.1558133858979964, 7.091986352958878, 1.429000271914626)","(3.1392570336080055, 7.088511390508605, 1.423860975569233)","(3.1555088512255964, 7.089157272731486, 1.4292374996051658)",50.3
2,1.9695759237340549,0.9999999998030424,0,0.0023666078210669884,[0.00033108],Transformation magnitude below threshold,0.8,15.0,648,144,"(3.170587321995263, 7.223702830680078, 1.4245064979841542)","(3.157922253578203, 7.214729211623435, 1.4235981629966943)","(3.173916030770263, 7.221246457837469, 1.4343059546984307)",50.81
2,1.9909924342399818,0.9999999998009008,0,0.0008979425378668334,[3.66355179e-06],Transformation magnitude below threshold,0.8,15.0,640,144,"(3.1909836709407307, 7.359454917765436, 1.42548348093698)","(3.178740279600484, 7.355258954650622, 1.4233097588823491)","(3.189477021511643, 7.355822370341314, 1.4330624100449123)",51.31
2,1.9284467072384763,0.9999999998071554,0,0.008896734981625989,[0.00100916],Transformation magnitude below threshold,0.8,15.0,634,144,"(3.209592858270872, 7.489994826966842, 1.424750351812571)","(3.197696393766372, 7.482924767491301, 1.4230305347391803)","(3.2108066857152875, 7.496239744711131, 1.4282707785705915)",51.8
2,2.0960149709757157,0.9999999997903986,0,0.0033677344603097255,[0.00036872],Transformation magnitude below threshold,0.8,15.0,629,144,"(3.226701738237208, 7.621916453049604, 1.4213586686373352)","(3.2170284835736815, 7.612925217384286, 1.4227620473689262)","(3.229244928010867, 7.618982328182745, 1.4144549361843355)",52.31
2,1.9670414645302134,0.9999999998032959,0,0.0035538177058829063,[0.00039556],Transformation magnitude below threshold,0.8,15.0,623,144,"(3.249696412924904, 7.753180324560762, 1.4247845550884368)","(3.235833364176062, 7.7391220395217175, 1.4224985262998697)","(3.245568619709848, 7.751485112795663, 1.4310404887158974)",52.8
2,1.7719027342735107,0.9999999998228097,0,0.009621183881093984,[0.00099483],Transformation magnitude below threshold,0.8,15.0,617,144,"(3.270061754994568, 7.884744266441181, 1.4251444309432098)","(3.2564642122334355, 7.877289403375704, 1.422204227235126)","(3.2684854784023556, 7.882551555620385, 1.428357450844043)",53.3
4,1.8409411085006604,0.02028241282407124,1,0.0003289279849210888,[3.63632996e-05],Transformation magnitude below threshold,0.8,15.0,612,144,"(3.2880236316920524, 8.019052845774757, 1.4229037635743775)","(3.2759035523513824, 8.007275037081527, 1.421938691974626)","(3.2902316520784423, 8.01703633412138, 1.4138487560529072)",53.82
3,1.8093097958734334,0.1075100854012648,0,0.0012894745620243954,[0.00016699],Transformation magnitude below threshold,0.8,15.0,606,144,"(3.3090528709236144, 8.148900473352953, 1.424149599681103)","(3.295823202379032, 8.140172561932127, 1.4216491641547802)","(3.306656389875258, 8.148771812093159, 1.4333616692199609)",54.31
4,1.7234129891833756,0.02133656218732206,0,0.0013975259867737425,[0.00012679],Transformation magnitude below threshold,0.8,15.0,598,144,"(3.326355960269044, 8.278877821885809, 1.4219423373992774)","(3.3147674435846732, 8.266348250570953, 1.421382246676273)","(3.3291668885664905, 8.280500514453472, 1.4141065036449794)",54.84
2,1.7021321232954514,0.9999999998297868,0,0.0001325540544866776,[1.37451351e-05],Transformation magnitude below threshold,0.8,15.0,594,144,"(3.3489939807433773, 8.413524119028233, 1.4238205699703212)","(3.335896775813976, 8.406831781817893, 1.4210973913690643)","(3.3463863734259527, 8.412548373293161, 1.4221655669355364)",55.31
